Data;hora;preciptacao;temperatura;humidade
12/01/2023;0000 UTC;0;23,1;78
12/01/2023;0100 UTC;0;22,3;81
12/01/2023;0200 UTC;0;22,2;79
12/01/2023;0300 UTC;0;22,1;80
12/01/2023;0400 UTC;0;21,8;81
12/01/2023;0500 UTC;0;21,4;83
12/01/2023;0600 UTC;0;20,6;88
12/01/2023;0700 UTC;0;20,1;90
12/01/2023;0800 UTC;0;19,3;91
12/01/2023;0900 UTC;0;19,6;92
12/01/2023;1000 UTC;0;21,3;89
12/01/2023;1100 UTC;0;24,5;71
12/01/2023;1200 UTC;0;25,4;60
12/01/2023;1300 UTC;0;26,5;58
12/01/2023;1400 UTC;0;27,9;51
12/01/2023;1500 UTC;0;29,1;45
12/01/2023;1600 UTC;0;27,9;52
12/01/2023;1700 UTC;0;30,1;47
12/01/2023;1800 UTC;0;30,6;40
12/01/2023;1900 UTC;0,4;24,3;82
12/01/2023;2000 UTC;0;26,1;66
12/01/2023;2100 UTC;0;27,1;61
12/01/2023;2200 UTC;0;24,9;72
12/01/2023;2300 UTC;0;23,9;79
13/01/2023;0000 UTC;0;22,8;78
13/01/2023;0100 UTC;0;22,1;80
13/01/2023;0200 UTC;0;22,4;79
13/01/2023;0300 UTC;0,4;21,9;86
13/01/2023;0400 UTC;0,8;21,3;91
13/01/2023;0500 UTC;1,4;21;91
13/01/2023;0600 UTC;0,2;21;92
13/01/2023;0700 UTC;0;20,8;92
13/01/2023;0800 UTC;0;20,8;92
13/01/2023;0900 UTC;0;20,3;91
13/01/2023;1000 UTC;0;20,6;91
13/01/2023;1100 UTC;0;21,7;86
13/01/2023;1200 UTC;0;24;72
13/01/2023;1300 UTC;0;25,3;67
13/01/2023;1400 UTC;0;26,4;63
13/01/2023;1500 UTC;0,2;28,1;57
13/01/2023;1600 UTC;0;26,9;61
13/01/2023;1700 UTC;0;26,8;63
13/01/2023;1800 UTC;0;27;62
13/01/2023;1900 UTC;0,4;20,7;86
13/01/2023;2000 UTC;0,8;20,5;88
13/01/2023;2100 UTC;0,8;20,6;89
13/01/2023;2200 UTC;0,6;20,3;91
13/01/2023;2300 UTC;0;20,6;90
14/01/2023;0000 UTC;0;20,5;90
14/01/2023;0100 UTC;0;20,4;89
14/01/2023;0200 UTC;0;20,2;91
14/01/2023;0300 UTC;0;20;91
14/01/2023;0400 UTC;0;20,2;91
14/01/2023;0500 UTC;0;20,1;91
14/01/2023;0600 UTC;0;20,1;91
14/01/2023;0700 UTC;0;19,8;92
14/01/2023;0800 UTC;0;19,5;92
14/01/2023;0900 UTC;0;19,5;92
14/01/2023;1000 UTC;0;20,4;89
14/01/2023;1100 UTC;0;22,3;80
14/01/2023;1200 UTC;0;24,9;67
14/01/2023;1300 UTC;0;26,4;61
14/01/2023;1400 UTC;0;28,1;56
14/01/2023;1500 UTC;0;29,3;48
14/01/2023;1600 UTC;0;29,2;46
14/01/2023;1700 UTC;0;28,9;56
14/01/2023;1800 UTC;1,2;24,4;78
14/01/2023;1900 UTC;1,6;23,3;87
14/01/2023;2000 UTC;0,2;23,3;86
14/01/2023;2100 UTC;0;22,5;87
14/01/2023;2200 UTC;0;22,4;91
14/01/2023;2300 UTC;0;21,7;91
15/01/2023;0000 UTC;0;21,7;91
15/01/2023;0100 UTC;0;21,4;92
15/01/2023;0200 UTC;0;20,9;92
15/01/2023;0300 UTC;0;21,3;92
15/01/2023;0400 UTC;0;20,7;92
15/01/2023;0500 UTC;0,2;20,2;93
15/01/2023;0600 UTC;0;20,2;93
15/01/2023;0700 UTC;0;20,3;93
15/01/2023;0800 UTC;0;19,9;93
15/01/2023;0900 UTC;0;19,6;93
15/01/2023;1000 UTC;0;20,6;93
15/01/2023;1100 UTC;0;23,8;84
15/01/2023;1200 UTC;0;27,1;64
15/01/2023;1300 UTC;0;29,2;62
15/01/2023;1400 UTC;0,2;28,9;52
15/01/2023;1500 UTC;5,2;22,8;82
15/01/2023;1600 UTC;0,6;29,7;55
